English,Braille
night fast come yellow send wish,⠝⠊⠛⠓⠞ ⠋⠁⠎⠞ ⠉⠕⠍⠑ ⠽⠑⠇⠇⠕⠺ ⠎⠑⠝⠙ ⠺⠊⠎⠓
you moon are stay bring morning stay you,⠽⠕⠥ ⠍⠕⠕⠝ ⠁⠗⠑ ⠎⠞⠁⠽ ⠃⠗⠊⠝⠛ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠞⠁⠽ ⠽⠕⠥
hello morning moon good come fast dark hate,⠓⠑⠇⠇⠕ ⠍⠕⠗⠝⠊⠝⠛ ⠍⠕⠕⠝ ⠛⠕⠕⠙ ⠉⠕⠍⠑ ⠋⠁⠎⠞ ⠙⠁⠗⠅ ⠓⠁⠞⠑
stand slow come happy you hold hello walk,⠎⠞⠁⠝⠙ ⠎⠇⠕⠺ ⠉⠕⠍⠑ ⠓⠁⠏⠏⠽ ⠽⠕⠥ ⠓⠕⠇⠙ ⠓⠑⠇⠇⠕ ⠺⠁⠇⠅
laugh hate night run white hold dream,⠇⠁⠥⠛⠓ ⠓⠁⠞⠑ ⠝⠊⠛⠓⠞ ⠗⠥⠝ ⠺⠓⠊⠞⠑ ⠓⠕⠇⠙ ⠙⠗⠑⠁⠍
bring are fast slow hello,⠃⠗⠊⠝⠛ ⠁⠗⠑ ⠋⠁⠎⠞ ⠎⠇⠕⠺ ⠓⠑⠇⠇⠕
green today write blue love,⠛⠗⠑⠑⠝ ⠞⠕⠙⠁⠽ ⠺⠗⠊⠞⠑ ⠃⠇⠥⠑ ⠇⠕⠧⠑
take write see run hate,⠞⠁⠅⠑ ⠺⠗⠊⠞⠑ ⠎⠑⠑ ⠗⠥⠝ ⠓⠁⠞⠑
dark sad yellow think,⠙⠁⠗⠅ ⠎⠁⠙ ⠽⠑⠇⠇⠕⠺ ⠞⠓⠊⠝⠅
yellow hello night how black night love feel,⠽⠑⠇⠇⠕⠺ ⠓⠑⠇⠇⠕ ⠝⠊⠛⠓⠞ ⠓⠕⠺ ⠃⠇⠁⠉⠅ ⠝⠊⠛⠓⠞ ⠇⠕⠧⠑ ⠋⠑⠑⠇
hate night think give laugh walk,⠓⠁⠞⠑ ⠝⠊⠛⠓⠞ ⠞⠓⠊⠝⠅ ⠛⠊⠧⠑ ⠇⠁⠥⠛⠓ ⠺⠁⠇⠅
open dark slow open are feel,⠕⠏⠑⠝ ⠙⠁⠗⠅ ⠎⠇⠕⠺ ⠕⠏⠑⠝ ⠁⠗⠑ ⠋⠑⠑⠇
night hate hello how,⠝⠊⠛⠓⠞ ⠓⠁⠞⠑ ⠓⠑⠇⠇⠕ ⠓⠕⠺
laugh close send how blue,⠇⠁⠥⠛⠓ ⠉⠇⠕⠎⠑ ⠎⠑⠝⠙ ⠓⠕⠺ ⠃⠇⠥⠑
slow black wish smile are touch how,⠎⠇⠕⠺ ⠃⠇⠁⠉⠅ ⠺⠊⠎⠓ ⠎⠍⠊⠇⠑ ⠁⠗⠑ ⠞⠕⠥⠉⠓ ⠓⠕⠺
moon see today fast moon world bring,⠍⠕⠕⠝ ⠎⠑⠑ ⠞⠕⠙⠁⠽ ⠋⠁⠎⠞ ⠍⠕⠕⠝ ⠺⠕⠗⠇⠙ ⠃⠗⠊⠝⠛
you you bright read bring run,⠽⠕⠥ ⠽⠕⠥ ⠃⠗⠊⠛⠓⠞ ⠗⠑⠁⠙ ⠃⠗⠊⠝⠛ ⠗⠥⠝
stand fast touch sad green come,⠎⠞⠁⠝⠙ ⠋⠁⠎⠞ ⠞⠕⠥⠉⠓ ⠎⠁⠙ ⠛⠗⠑⠑⠝ ⠉⠕⠍⠑
morning wish hello close love green send you,⠍⠕⠗⠝⠊⠝⠛ ⠺⠊⠎⠓ ⠓⠑⠇⠇⠕ ⠉⠇⠕⠎⠑ ⠇⠕⠧⠑ ⠛⠗⠑⠑⠝ ⠎⠑⠝⠙ ⠽⠕⠥
jump red see give,⠚⠥⠍⠏ ⠗⠑⠙ ⠎⠑⠑ ⠛⠊⠧⠑
go today yellow moon slow moon,⠛⠕ ⠞⠕⠙⠁⠽ ⠽⠑⠇⠇⠕⠺ ⠍⠕⠕⠝ ⠎⠇⠕⠺ ⠍⠕⠕⠝
good go write happy read,⠛⠕⠕⠙ ⠛⠕ ⠺⠗⠊⠞⠑ ⠓⠁⠏⠏⠽ ⠗⠑⠁⠙
morning love white fast,⠍⠕⠗⠝⠊⠝⠛ ⠇⠕⠧⠑ ⠺⠓⠊⠞⠑ ⠋⠁⠎⠞
are slow good write run smile write green,⠁⠗⠑ ⠎⠇⠕⠺ ⠛⠕⠕⠙ ⠺⠗⠊⠞⠑ ⠗⠥⠝ ⠎⠍⠊⠇⠑ ⠺⠗⠊⠞⠑ ⠛⠗⠑⠑⠝
feel love dream green,⠋⠑⠑⠇ ⠇⠕⠧⠑ ⠙⠗⠑⠁⠍ ⠛⠗⠑⠑⠝
touch wish happy stand write,⠞⠕⠥⠉⠓ ⠺⠊⠎⠓ ⠓⠁⠏⠏⠽ ⠎⠞⠁⠝⠙ ⠺⠗⠊⠞⠑
red think come close black dream dark see,⠗⠑⠙ ⠞⠓⠊⠝⠅ ⠉⠕⠍⠑ ⠉⠇⠕⠎⠑ ⠃⠇⠁⠉⠅ ⠙⠗⠑⠁⠍ ⠙⠁⠗⠅ ⠎⠑⠑
sad write yellow you feel,⠎⠁⠙ ⠺⠗⠊⠞⠑ ⠽⠑⠇⠇⠕⠺ ⠽⠕⠥ ⠋⠑⠑⠇
run wish fast morning,⠗⠥⠝ ⠺⠊⠎⠓ ⠋⠁⠎⠞ ⠍⠕⠗⠝⠊⠝⠛
touch laugh yellow think love wish,⠞⠕⠥⠉⠓ ⠇⠁⠥⠛⠓ ⠽⠑⠇⠇⠕⠺ ⠞⠓⠊⠝⠅ ⠇⠕⠧⠑ ⠺⠊⠎⠓
write bright close jump come hello see,⠺⠗⠊⠞⠑ ⠃⠗⠊⠛⠓⠞ ⠉⠇⠕⠎⠑ ⠚⠥⠍⠏ ⠉⠕⠍⠑ ⠓⠑⠇⠇⠕ ⠎⠑⠑
see world how are hello close run fast,⠎⠑⠑ ⠺⠕⠗⠇⠙ ⠓⠕⠺ ⠁⠗⠑ ⠓⠑⠇⠇⠕ ⠉⠇⠕⠎⠑ ⠗⠥⠝ ⠋⠁⠎⠞
laugh stand fast stay,⠇⠁⠥⠛⠓ ⠎⠞⠁⠝⠙ ⠋⠁⠎⠞ ⠎⠞⠁⠽
feel night black send come hold read,⠋⠑⠑⠇ ⠝⠊⠛⠓⠞ ⠃⠇⠁⠉⠅ ⠎⠑⠝⠙ ⠉⠕⠍⠑ ⠓⠕⠇⠙ ⠗⠑⠁⠙
come wish run open write are red,⠉⠕⠍⠑ ⠺⠊⠎⠓ ⠗⠥⠝ ⠕⠏⠑⠝ ⠺⠗⠊⠞⠑ ⠁⠗⠑ ⠗⠑⠙
black see world hello black dream slow jump,⠃⠇⠁⠉⠅ ⠎⠑⠑ ⠺⠕⠗⠇⠙ ⠓⠑⠇⠇⠕ ⠃⠇⠁⠉⠅ ⠙⠗⠑⠁⠍ ⠎⠇⠕⠺ ⠚⠥⠍⠏
go bright open close bring,⠛⠕ ⠃⠗⠊⠛⠓⠞ ⠕⠏⠑⠝ ⠉⠇⠕⠎⠑ ⠃⠗⠊⠝⠛
world touch sun close smile how,⠺⠕⠗⠇⠙ ⠞⠕⠥⠉⠓ ⠎⠥⠝ ⠉⠇⠕⠎⠑ ⠎⠍⠊⠇⠑ ⠓⠕⠺
night hello yellow morning bring green white,⠝⠊⠛⠓⠞ ⠓⠑⠇⠇⠕ ⠽⠑⠇⠇⠕⠺ ⠍⠕⠗⠝⠊⠝⠛ ⠃⠗⠊⠝⠛ ⠛⠗⠑⠑⠝ ⠺⠓⠊⠞⠑
you smile today stand morning,⠽⠕⠥ ⠎⠍⠊⠇⠑ ⠞⠕⠙⠁⠽ ⠎⠞⠁⠝⠙ ⠍⠕⠗⠝⠊⠝⠛
night laugh feel slow laugh smile,⠝⠊⠛⠓⠞ ⠇⠁⠥⠛⠓ ⠋⠑⠑⠇ ⠎⠇⠕⠺ ⠇⠁⠥⠛⠓ ⠎⠍⠊⠇⠑
hold run yellow bright bring come,⠓⠕⠇⠙ ⠗⠥⠝ ⠽⠑⠇⠇⠕⠺ ⠃⠗⠊⠛⠓⠞ ⠃⠗⠊⠝⠛ ⠉⠕⠍⠑
wish give feel open blue walk,⠺⠊⠎⠓ ⠛⠊⠧⠑ ⠋⠑⠑⠇ ⠕⠏⠑⠝ ⠃⠇⠥⠑ ⠺⠁⠇⠅
moon yellow happy are love good dark you,⠍⠕⠕⠝ ⠽⠑⠇⠇⠕⠺ ⠓⠁⠏⠏⠽ ⠁⠗⠑ ⠇⠕⠧⠑ ⠛⠕⠕⠙ ⠙⠁⠗⠅ ⠽⠕⠥
smile black sad dream write world,⠎⠍⠊⠇⠑ ⠃⠇⠁⠉⠅ ⠎⠁⠙ ⠙⠗⠑⠁⠍ ⠺⠗⠊⠞⠑ ⠺⠕⠗⠇⠙
are stand how sad read green,⠁⠗⠑ ⠎⠞⠁⠝⠙ ⠓⠕⠺ ⠎⠁⠙ ⠗⠑⠁⠙ ⠛⠗⠑⠑⠝
blue come happy green hate sad sun stay,⠃⠇⠥⠑ ⠉⠕⠍⠑ ⠓⠁⠏⠏⠽ ⠛⠗⠑⠑⠝ ⠓⠁⠞⠑ ⠎⠁⠙ ⠎⠥⠝ ⠎⠞⠁⠽
smile love you are touch world see,⠎⠍⠊⠇⠑ ⠇⠕⠧⠑ ⠽⠕⠥ ⠁⠗⠑ ⠞⠕⠥⠉⠓ ⠺⠕⠗⠇⠙ ⠎⠑⠑
blue open slow smile hate dream,⠃⠇⠥⠑ ⠕⠏⠑⠝ ⠎⠇⠕⠺ ⠎⠍⠊⠇⠑ ⠓⠁⠞⠑ ⠙⠗⠑⠁⠍
give hold stay bring go touch,⠛⠊⠧⠑ ⠓⠕⠇⠙ ⠎⠞⠁⠽ ⠃⠗⠊⠝⠛ ⠛⠕ ⠞⠕⠥⠉⠓
stand give run write bright,⠎⠞⠁⠝⠙ ⠛⠊⠧⠑ ⠗⠥⠝ ⠺⠗⠊⠞⠑ ⠃⠗⠊⠛⠓⠞
laugh night slow close you happy send,⠇⠁⠥⠛⠓ ⠝⠊⠛⠓⠞ ⠎⠇⠕⠺ ⠉⠇⠕⠎⠑ ⠽⠕⠥ ⠓⠁⠏⠏⠽ ⠎⠑⠝⠙
touch happy feel bright,⠞⠕⠥⠉⠓ ⠓⠁⠏⠏⠽ ⠋⠑⠑⠇ ⠃⠗⠊⠛⠓⠞
today bright you walk moon you night write,⠞⠕⠙⠁⠽ ⠃⠗⠊⠛⠓⠞ ⠽⠕⠥ ⠺⠁⠇⠅ ⠍⠕⠕⠝ ⠽⠕⠥ ⠝⠊⠛⠓⠞ ⠺⠗⠊⠞⠑
stand hate slow hello,⠎⠞⠁⠝⠙ ⠓⠁⠞⠑ ⠎⠇⠕⠺ ⠓⠑⠇⠇⠕
send night sun see black,⠎⠑⠝⠙ ⠝⠊⠛⠓⠞ ⠎⠥⠝ ⠎⠑⠑ ⠃⠇⠁⠉⠅
stand black blue happy moon love,⠎⠞⠁⠝⠙ ⠃⠇⠁⠉⠅ ⠃⠇⠥⠑ ⠓⠁⠏⠏⠽ ⠍⠕⠕⠝ ⠇⠕⠧⠑
feel dark sad happy wish morning white,⠋⠑⠑⠇ ⠙⠁⠗⠅ ⠎⠁⠙ ⠓⠁⠏⠏⠽ ⠺⠊⠎⠓ ⠍⠕⠗⠝⠊⠝⠛ ⠺⠓⠊⠞⠑
close red world run go smile close see,⠉⠇⠕⠎⠑ ⠗⠑⠙ ⠺⠕⠗⠇⠙ ⠗⠥⠝ ⠛⠕ ⠎⠍⠊⠇⠑ ⠉⠇⠕⠎⠑ ⠎⠑⠑
dream jump give dark dream bright think,⠙⠗⠑⠁⠍ ⠚⠥⠍⠏ ⠛⠊⠧⠑ ⠙⠁⠗⠅ ⠙⠗⠑⠁⠍ ⠃⠗⠊⠛⠓⠞ ⠞⠓⠊⠝⠅
go black bring come hate good hello hate,⠛⠕ ⠃⠇⠁⠉⠅ ⠃⠗⠊⠝⠛ ⠉⠕⠍⠑ ⠓⠁⠞⠑ ⠛⠕⠕⠙ ⠓⠑⠇⠇⠕ ⠓⠁⠞⠑
close stay dream slow bring wish,⠉⠇⠕⠎⠑ ⠎⠞⠁⠽ ⠙⠗⠑⠁⠍ ⠎⠇⠕⠺ ⠃⠗⠊⠝⠛ ⠺⠊⠎⠓
read yellow give how,⠗⠑⠁⠙ ⠽⠑⠇⠇⠕⠺ ⠛⠊⠧⠑ ⠓⠕⠺
touch bring bright white stand,⠞⠕⠥⠉⠓ ⠃⠗⠊⠝⠛ ⠃⠗⠊⠛⠓⠞ ⠺⠓⠊⠞⠑ ⠎⠞⠁⠝⠙
bright how world touch sad feel hate walk,⠃⠗⠊⠛⠓⠞ ⠓⠕⠺ ⠺⠕⠗⠇⠙ ⠞⠕⠥⠉⠓ ⠎⠁⠙ ⠋⠑⠑⠇ ⠓⠁⠞⠑ ⠺⠁⠇⠅
you hello happy happy,⠽⠕⠥ ⠓⠑⠇⠇⠕ ⠓⠁⠏⠏⠽ ⠓⠁⠏⠏⠽
stay go today stand read read night,⠎⠞⠁⠽ ⠛⠕ ⠞⠕⠙⠁⠽ ⠎⠞⠁⠝⠙ ⠗⠑⠁⠙ ⠗⠑⠁⠙ ⠝⠊⠛⠓⠞
today world see you fast stand walk bring,⠞⠕⠙⠁⠽ ⠺⠕⠗⠇⠙ ⠎⠑⠑ ⠽⠕⠥ ⠋⠁⠎⠞ ⠎⠞⠁⠝⠙ ⠺⠁⠇⠅ ⠃⠗⠊⠝⠛
see love go dream hello laugh morning,⠎⠑⠑ ⠇⠕⠧⠑ ⠛⠕ ⠙⠗⠑⠁⠍ ⠓⠑⠇⠇⠕ ⠇⠁⠥⠛⠓ ⠍⠕⠗⠝⠊⠝⠛
jump stand red walk stand,⠚⠥⠍⠏ ⠎⠞⠁⠝⠙ ⠗⠑⠙ ⠺⠁⠇⠅ ⠎⠞⠁⠝⠙
blue jump come take bright take white,⠃⠇⠥⠑ ⠚⠥⠍⠏ ⠉⠕⠍⠑ ⠞⠁⠅⠑ ⠃⠗⠊⠛⠓⠞ ⠞⠁⠅⠑ ⠺⠓⠊⠞⠑
sad stand morning love,⠎⠁⠙ ⠎⠞⠁⠝⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠇⠕⠧⠑
close sad walk black touch,⠉⠇⠕⠎⠑ ⠎⠁⠙ ⠺⠁⠇⠅ ⠃⠇⠁⠉⠅ ⠞⠕⠥⠉⠓
jump laugh write touch happy,⠚⠥⠍⠏ ⠇⠁⠥⠛⠓ ⠺⠗⠊⠞⠑ ⠞⠕⠥⠉⠓ ⠓⠁⠏⠏⠽
slow stay read jump wish dark,⠎⠇⠕⠺ ⠎⠞⠁⠽ ⠗⠑⠁⠙ ⠚⠥⠍⠏ ⠺⠊⠎⠓ ⠙⠁⠗⠅
night jump jump night read,⠝⠊⠛⠓⠞ ⠚⠥⠍⠏ ⠚⠥⠍⠏ ⠝⠊⠛⠓⠞ ⠗⠑⠁⠙
walk yellow fast good sad how hold feel,⠺⠁⠇⠅ ⠽⠑⠇⠇⠕⠺ ⠋⠁⠎⠞ ⠛⠕⠕⠙ ⠎⠁⠙ ⠓⠕⠺ ⠓⠕⠇⠙ ⠋⠑⠑⠇
are smile fast jump fast sad,⠁⠗⠑ ⠎⠍⠊⠇⠑ ⠋⠁⠎⠞ ⠚⠥⠍⠏ ⠋⠁⠎⠞ ⠎⠁⠙
stay dark close slow how wish dream,⠎⠞⠁⠽ ⠙⠁⠗⠅ ⠉⠇⠕⠎⠑ ⠎⠇⠕⠺ ⠓⠕⠺ ⠺⠊⠎⠓ ⠙⠗⠑⠁⠍
stand run blue hold open hold,⠎⠞⠁⠝⠙ ⠗⠥⠝ ⠃⠇⠥⠑ ⠓⠕⠇⠙ ⠕⠏⠑⠝ ⠓⠕⠇⠙
touch green slow think,⠞⠕⠥⠉⠓ ⠛⠗⠑⠑⠝ ⠎⠇⠕⠺ ⠞⠓⠊⠝⠅
hello run come bright you moon,⠓⠑⠇⠇⠕ ⠗⠥⠝ ⠉⠕⠍⠑ ⠃⠗⠊⠛⠓⠞ ⠽⠕⠥ ⠍⠕⠕⠝
smile dark love red jump,⠎⠍⠊⠇⠑ ⠙⠁⠗⠅ ⠇⠕⠧⠑ ⠗⠑⠙ ⠚⠥⠍⠏
laugh read morning how,⠇⠁⠥⠛⠓ ⠗⠑⠁⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠓⠕⠺
come happy fast night white hate think write,⠉⠕⠍⠑ ⠓⠁⠏⠏⠽ ⠋⠁⠎⠞ ⠝⠊⠛⠓⠞ ⠺⠓⠊⠞⠑ ⠓⠁⠞⠑ ⠞⠓⠊⠝⠅ ⠺⠗⠊⠞⠑
slow give hello yellow white blue bring bring,⠎⠇⠕⠺ ⠛⠊⠧⠑ ⠓⠑⠇⠇⠕ ⠽⠑⠇⠇⠕⠺ ⠺⠓⠊⠞⠑ ⠃⠇⠥⠑ ⠃⠗⠊⠝⠛ ⠃⠗⠊⠝⠛
happy dark wish touch stand stand good are,⠓⠁⠏⠏⠽ ⠙⠁⠗⠅ ⠺⠊⠎⠓ ⠞⠕⠥⠉⠓ ⠎⠞⠁⠝⠙ ⠎⠞⠁⠝⠙ ⠛⠕⠕⠙ ⠁⠗⠑
